"mean_base_angle","total_length_cm","base_width_cm","size_metric","Position"
8.53333333333333,627,175,109725,"prone"
6.46666666666667,627,175,109725,"prone"
10.3,649,268,173932,"supine"
7.13333333333333,552,160,88320,"prone"
6,735,283,208005,"supine"
5.16666666666667,573,185,106005,"prone"
10.9,573,185,106005,"prone"
8.06666666666667,525,168,88200,"prone"
5.23333333333333,576,276,158976,"prone"
6.5,576,276,158976,"prone"
6.1,783,243,190269,"prone"
10.9333333333333,783,243,190269,"prone"
13.8666666666667,742,254,188468,"prone"
