"OBJECTID","latitude","longitude","LOCATION_TYPE"
113,-27.125746,-109.288237,"QUARRY"
114,-27.125717,-109.288268,"QUARRY"
115,-27.125703,-109.288326,"QUARRY"
116,-27.125743,-109.288281,"QUARRY"
117,-27.125779,-109.288298,"QUARRY"
118,-27.125843,-109.288284,"QUARRY"
119,-27.125781,-109.288364,"QUARRY"
120,-27.125689,-109.288534,"QUARRY"
121,-27.125706,-109.288549,"QUARRY"
122,-27.125718,-109.288559,"QUARRY"
123,-27.125736,-109.288705,"QUARRY"
124,-27.125729,-109.288661,"QUARRY"
125,-27.125682,-109.288655,"QUARRY"
126,-27.125602,-109.288924,"QUARRY"
127,-27.125522,-109.288819,"QUARRY"
128,-27.12557,-109.288877,"QUARRY"
129,-27.125494,-109.288854,"QUARRY"
130,-27.125576,-109.288935,"QUARRY"
131,-27.125557,-109.289183,"QUARRY"
134,-27.124398,-109.287747,"QUARRY"
135,-27.124388,-109.287686,"QUARRY"
136,-27.124297,-109.287648,"QUARRY"
168,-27.124486,-109.287594,"QUARRY"
169,-27.124416,-109.287757,"QUARRY"
291,-27.125673,-109.288875,"QUARRY"
292,-27.125652,-109.288898,"QUARRY"
293,-27.125621,-109.28885,"QUARRY"
294,-27.124637,-109.287393,"QUARRY"
295,-27.124653,-109.287431,"QUARRY"
296,-27.124607,-109.287379,"QUARRY"
297,-27.124651,-109.287379,"QUARRY"
298,-27.124615,-109.287311,"QUARRY"
299,-27.124537,-109.287209,"QUARRY"
300,-27.124564,-109.287161,"QUARRY"
301,-27.124604,-109.287572,"QUARRY"
302,-27.124523,-109.287624,"QUARRY"
303,-27.124243,-109.287618,"QUARRY"
304,-27.124215,-109.287558,"QUARRY"
305,-27.124331,-109.287435,"QUARRY"
306,-27.124108,-109.286924,"QUARRY"
307,-27.124028,-109.287046,"QUARRY"
308,-27.124019,-109.286996,"QUARRY"
309,-27.125709,-109.289391,"QUARRY"
310,-27.125241,-109.288328,"QUARRY"
311,-27.124651,-109.287509,"QUARRY"
312,-27.125579,-109.288643,"QUARRY"
313,-27.125563,-109.288723,"QUARRY"
314,-27.125591,-109.288799,"QUARRY"
315,-27.125618,-109.288794,"QUARRY"
316,-27.125783,-109.288985,"QUARRY"
317,-27.125759,-109.288974,"QUARRY"
318,-27.125736,-109.288856,"QUARRY"
319,-27.125703,-109.288868,"QUARRY"
320,-27.125695,-109.288848,"QUARRY"
321,-27.125634,-109.28892,"QUARRY"
322,-27.124538,-109.287057,"QUARRY"
323,-27.124417,-109.287111,"QUARRY"
324,-27.124155,-109.287095,"QUARRY"
325,-27.124146,-109.287055,"QUARRY"
326,-27.12429,-109.287032,"QUARRY"
327,-27.125576,-109.289167,"QUARRY"
328,-27.125549,-109.289101,"QUARRY"
329,-27.125515,-109.289233,"QUARRY"
390,-27.12455,-109.289309,"QUARRY"
398,-27.126538,-109.287825,"QUARRY"
402,-27.124527,-109.289272,"QUARRY"
405,-27.124643,-109.28906,"QUARRY"
406,-27.124671,-109.288669,"QUARRY"
413,-27.12627,-109.288828,"QUARRY"
414,-27.126534,-109.288965,"QUARRY"
415,-27.127273,-109.287397,"QUARRY"
416,-27.127216,-109.287469,"QUARRY"
417,-27.126457,-109.286364,"QUARRY"
438,-27.126753,-109.287531,"QUARRY"
451,-27.124696,-109.288744,"QUARRY"
452,-27.124715,-109.288713,"QUARRY"
453,-27.124741,-109.288534,"QUARRY"
454,-27.124191,-109.286988,"QUARRY"
455,-27.124164,-109.286945,"QUARRY"
456,-27.12418,-109.286886,"QUARRY"
457,-27.124139,-109.287004,"QUARRY"
458,-27.124081,-109.286925,"QUARRY"
464,-27.127697,-109.288354,"QUARRY"
465,-27.124968,-109.288596,"QUARRY"
466,-27.124824,-109.28852,"QUARRY"
467,-27.124875,-109.288385,"QUARRY"
468,-27.124767,-109.288392,"QUARRY"
469,-27.124774,-109.288322,"QUARRY"
470,-27.12328,-109.291567,"QUARRY"
471,-27.123301,-109.291062,"QUARRY"
472,-27.123236,-109.290922,"QUARRY"
473,-27.124556,-109.289089,"QUARRY"
474,-27.126347,-109.288443,"QUARRY"
475,-27.126265,-109.288364,"QUARRY"
476,-27.126256,-109.288405,"QUARRY"
477,-27.126321,-109.288525,"QUARRY"
478,-27.126303,-109.288575,"QUARRY"
479,-27.125695,-109.289735,"QUARRY"
480,-27.125685,-109.289704,"QUARRY"
481,-27.126241,-109.290031,"QUARRY"
482,-27.126536,-109.290009,"QUARRY"
483,-27.126847,-109.289965,"QUARRY"
484,-27.124777,-109.288279,"QUARRY"
485,-27.124801,-109.288167,"QUARRY"
486,-27.124703,-109.288262,"QUARRY"
487,-27.12471,-109.288186,"QUARRY"
488,-27.124765,-109.288205,"QUARRY"
489,-27.126041,-109.287823,"QUARRY"
497,-27.126063,-109.28786,"QUARRY"
498,-27.126083,-109.287868,"QUARRY"
499,-27.126051,-109.287902,"QUARRY"
500,-27.125987,-109.28788,"QUARRY"
501,-27.126005,-109.287936,"QUARRY"
503,-27.124879,-109.288678,"QUARRY"
504,-27.124896,-109.288647,"QUARRY"
505,-27.124914,-109.288647,"QUARRY"
506,-27.125355,-109.287773,"QUARRY"
507,-27.124708,-109.287499,"QUARRY"
508,-27.122453,-109.284427,"QUARRY"
509,-27.126496,-109.288078,"QUARRY"
510,-27.126551,-109.288188,"QUARRY"
511,-27.126542,-109.288118,"QUARRY"
512,-27.126658,-109.288076,"QUARRY"
513,-27.12673,-109.288004,"QUARRY"
514,-27.126684,-109.287964,"QUARRY"
515,-27.1254,-109.289137,"QUARRY"
516,-27.125291,-109.289226,"QUARRY"
517,-27.125294,-109.289415,"QUARRY"
518,-27.125408,-109.289513,"QUARRY"
531,-27.123847,-109.286979,"QUARRY"
532,-27.12355,-109.286827,"QUARRY"
548,-27.124808,-109.288404,"QUARRY"
562,-27.124544,-109.289252,"QUARRY"
563,-27.124585,-109.289262,"QUARRY"
584,-27.126154,-109.287619,"QUARRY"
585,-27.126056,-109.287628,"QUARRY"
586,-27.125944,-109.28754,"QUARRY"
587,-27.125897,-109.287513,"QUARRY"
588,-27.125866,-109.287512,"QUARRY"
589,-27.125811,-109.287545,"QUARRY"
590,-27.125815,-109.287583,"QUARRY"
591,-27.125586,-109.287436,"QUARRY"
592,-27.125476,-109.287313,"QUARRY"
593,-27.125389,-109.287296,"QUARRY"
594,-27.125377,-109.287324,"QUARRY"
595,-27.125397,-109.287383,"QUARRY"
599,-27.125474,-109.289505,"QUARRY"
600,-27.125481,-109.289457,"QUARRY"
601,-27.125381,-109.287431,"QUARRY"
602,-27.125471,-109.28766,"QUARRY"
603,-27.125757,-109.287599,"QUARRY"
604,-27.125868,-109.287581,"QUARRY"
662,-27.125568,-109.287447,"QUARRY"
663,-27.124975,-109.288604,"QUARRY"
664,-27.126119,-109.287509,"QUARRY"
678,-27.121984,-109.283698,"QUARRY"
679,-27.126974,-109.28802,"QUARRY"
605,-27.125389,-109.287601,"QUARRY"
615,-27.126509,-109.286958,"QUARRY"
616,-27.126466,-109.28712,"QUARRY"
617,-27.126457,-109.28713,"QUARRY"
618,-27.126387,-109.287263,"QUARRY"
623,-27.125636,-109.286704,"QUARRY"
624,-27.126209,-109.286781,"QUARRY"
625,-27.126758,-109.286913,"QUARRY"
626,-27.126465,-109.287776,"QUARRY"
627,-27.126429,-109.287776,"QUARRY"
628,-27.125744,-109.289361,"QUARRY"
629,-27.125363,-109.287692,"QUARRY"
630,-27.125274,-109.287774,"QUARRY"
631,-27.126082,-109.287469,"QUARRY"
632,-27.126741,-109.288216,"QUARRY"
633,-27.126661,-109.288308,"QUARRY"
634,-27.126475,-109.288553,"QUARRY"
636,-27.126088,-109.287176,"QUARRY"
637,-27.125988,-109.287138,"QUARRY"
651,-27.126121,-109.287257,"QUARRY"
652,-27.126114,-109.287339,"QUARRY"
653,-27.126013,-109.287419,"QUARRY"
654,-27.126041,-109.287435,"QUARRY"
659,-27.126087,-109.287657,"QUARRY"
660,-27.126082,-109.287809,"QUARRY"
661,-27.12599,-109.287809,"QUARRY"
680,-27.124804,-109.289254,"QUARRY"
681,-27.124772,-109.289083,"QUARRY"
682,-27.124718,-109.288927,"QUARRY"
683,-27.124906,-109.2889,"QUARRY"
684,-27.124782,-109.288662,"QUARRY"
690,-27.125456,-109.289151,"QUARRY"
691,-27.125395,-109.289178,"QUARRY"
692,-27.12462,-109.287927,"QUARRY"
700,-27.124563,-109.289469,"QUARRY-BEDROCK"
703,-27.124643,-109.288826,"QUARRY"
704,-27.123695,-109.287062,"QUARRY"
705,-27.123758,-109.28705,"QUARRY"
706,-27.123793,-109.287,"QUARRY"
707,-27.123243,-109.287028,"QUARRY"
708,-27.124653,-109.288782,"QUARRY"
709,-27.12468,-109.288767,"QUARRY"
710,-27.123669,-109.290179,"QUARRY"
712,-27.123818,-109.285738,"QUARRY"
713,-27.123793,-109.285557,"QUARRY"
714,-27.12383,-109.285577,"QUARRY"
715,-27.123959,-109.286513,"QUARRY"
716,-27.124086,-109.286571,"QUARRY"
717,-27.12464,-109.286119,"QUARRY"
718,-27.124496,-109.286658,"QUARRY"
719,-27.124657,-109.287561,"QUARRY"
720,-27.124666,-109.287531,"QUARRY"
725,-27.124601,-109.289092,"QUARRY-BEDROCK"
738,-27.124772,-109.288534,"QUARRY-BEDROCK"
741,-27.126599,-109.286926,"QUARRY"
742,-27.126618,-109.286977,"QUARRY"
743,-27.125374,-109.288589,"QUARRY"
744,-27.124629,-109.288228,"QUARRY"
745,-27.124567,-109.289342,"QUARRY"
746,-27.124583,-109.289303,"QUARRY"
747,-27.124585,-109.289065,"QUARRY"
