"OBJECTID","LOCATION_TYPE","dist_from_quarry_m","latitude","longitude"
721,"AHU",87.0685160381281,-27.125426,-109.276367
578,"AHU",87.2509693757502,-27.125431,-109.276376
36,"AHU",87.4790227314527,-27.125437,-109.276387
392,"AHU",87.8943750759708,-27.125441,-109.276387
577,"AHU",89.1163007816035,-27.125456,-109.276397
729,"AHU",89.2264686292848,-27.12544,-109.276348
576,"AHU",89.597594638468,-27.125453,-109.276374
34,"AHU",89.8733883917045,-27.125461,-109.27639
728,"AHU",90.4029979374305,-27.12545,-109.276344
357,"AHU",90.7729350027732,-27.125468,-109.276385
393,"AHU",91.2340232258136,-27.125465,-109.276363
140,"AHU",91.3577624782674,-27.125463,-109.276354
394,"AHU",92.5275310652492,-27.125474,-109.276353
727,"AHU",93.2269867849666,-27.125479,-109.276348
429,"AHU",94.2236512666522,-27.125547,-109.276637
574,"AHU",98.3271949869907,-27.125585,-109.276657
609,"AHU",100.225514715614,-27.125602,-109.276654
550,"AHU",100.57555046836,-27.125606,-109.276686
549,"AHU",105.229676517723,-27.125648,-109.276706
573,"AHU",110.231713789358,-27.125693,-109.276714
572,"AHU",112.22363610675,-27.12571,-109.276751
571,"AHU",115.444432749876,-27.125738,-109.276773
330,"AHU",119.462578714074,-27.125772,-109.276807
223,"AHU",123.71682613539,-27.12581,-109.276813
222,"AHU",127.96960622334,-27.125846,-109.276841
221,"AHU",133.206368563762,-27.125891,-109.276865
575,"AHU",133.849322108595,-27.125382,-109.277815
220,"AHU",137.490500762641,-27.125926,-109.276898
447,"AHU",142.563285473478,-27.125969,-109.276922
446,"AHU",148.510937536147,-27.126018,-109.276958
445,"AHU",152.428465924008,-27.12605,-109.276982
890,"AHU",206.347480083633,-27.126361,-109.277636
141,"AHU",206.479355761819,-27.126356,-109.27765
685,"AHU",207.483408090491,-27.126372,-109.277637
891,"AHU",207.664504740263,-27.12638,-109.277623
528,"AHU",209.021603890066,-27.126367,-109.277682
808,"AHU",209.471529122249,-27.126392,-109.277637
527,"ISOLATED",209.753548956684,-27.12638,-109.27767
658,"AHU",210.103261290495,-27.126389,-109.277658
657,"AHU",210.331810860806,-27.126394,-109.277652
656,"AHU",210.684576286229,-27.126398,-109.277651
655,"AHU",210.878668323651,-27.126407,-109.277635
529,"AHU",211.432938751066,-27.126397,-109.27767
382,"AHU",211.991179120242,-27.126404,-109.277667
530,"AHU",212.407579123115,-27.12641,-109.277663
383,"AHU",212.638848014295,-27.125098,-109.278801
384,"AHU",232.904167814963,-27.125521,-109.278865
430,"AHU",256.339643137032,-27.126692,-109.27801
809,"ISOLATED",342.069506226486,-27.123531,-109.273503
810,"ISOLATED",369.854223567352,-27.123357,-109.273281
385,"ISOLATED",386.002725101252,-27.123463,-109.273056
386,"ISOLATED",413.245538382487,-27.123428,-109.272777
811,"AHU",596.943593386301,-27.122152,-109.27139
812,"AHU",603.181616962812,-27.122069,-109.271369
678,"QUARRY",755.55435924849,-27.121984,-109.283698
508,"QUARRY",804.607065974621,-27.122453,-109.284427
777,"QUARRY",814.750837319221,-27.122753,-109.284635
726,"AHU",829.39810422057,-27.132034,-109.278303
443,"AHU",841.846789253562,-27.132139,-109.278356
444,"AHU",854.580645184951,-27.132254,-109.278367
713,"QUARRY",882.603821075248,-27.123793,-109.285557
714,"QUARRY",884.112905815018,-27.12383,-109.285577
712,"QUARRY",900.102126564639,-27.123818,-109.285738
752,"QUARRY",914.463006736625,-27.124701,-109.285937
753,"QUARRY",928.43426887026,-27.124657,-109.286078
717,"QUARRY",932.50478334425,-27.12464,-109.286119
756,"QUARRY",940.407991676595,-27.124948,-109.286195
755,"QUARRY",941.341261670361,-27.12493,-109.286205
754,"QUARRY",942.381104594374,-27.124704,-109.286219
715,"QUARRY",974.962675269616,-27.123959,-109.286513
417,"QUARRY",976.411442182573,-27.126457,-109.286364
716,"QUARRY",979.602718531881,-27.124086,-109.286571
791,"QUARRY",983.334220122668,-27.123173,-109.286484
718,"QUARRY",986.102022966948,-27.124496,-109.286658
792,"QUARRY",987.468636941487,-27.123608,-109.286599
623,"QUARRY",995.830615933758,-27.125636,-109.286704
789,"QUARRY",996.473291179502,-27.12331,-109.286644
787,"QUARRY",996.651332272025,-27.123562,-109.286686
786,"QUARRY",996.77804255264,-27.123574,-109.286689
783,"QUARRY",997.018465501617,-27.123772,-109.286717
788,"QUARRY",998.090799424414,-27.123383,-109.286673
785,"QUARRY",998.423033500829,-27.123672,-109.286719
784,"QUARRY",1001.63842618405,-27.123799,-109.286767
782,"QUARRY",1001.74907588659,-27.123872,-109.286776
781,"QUARRY",1008.197612236,-27.123918,-109.286846
456,"QUARRY",1010.06454932053,-27.12418,-109.286886
780,"QUARRY",1010.40322234391,-27.12399,-109.286875
532,"QUARRY",1010.66668235794,-27.12355,-109.286827
624,"QUARRY",1011.97719310361,-27.126209,-109.286781
306,"QUARRY",1014.30681843255,-27.124108,-109.286924
458,"QUARRY",1014.60416040161,-27.124081,-109.286925
455,"QUARRY",1015.99851330626,-27.124164,-109.286945
454,"QUARRY",1020.07785543198,-27.124191,-109.286988
457,"QUARRY",1021.99487604153,-27.124139,-109.287004
531,"QUARRY",1022.01632576461,-27.123847,-109.286979
308,"QUARRY",1022.10304945066,-27.124019,-109.286996
326,"QUARRY",1023.87992729725,-27.12429,-109.287032
706,"QUARRY",1024.65796650844,-27.123793,-109.287
322,"QUARRY",1025.50066795337,-27.124538,-109.287057
307,"QUARRY",1026.96651502359,-27.124028,-109.287046
325,"QUARRY",1026.98772293488,-27.124146,-109.287055
705,"QUARRY",1029.97127840619,-27.123758,-109.28705
803,"QUARRY",1030.60752694001,-27.123875,-109.287069
796,"QUARRY",1030.70748725584,-27.120913,-109.286206
814,"QUARRY",1030.74789193073,-27.124456,-109.287108
324,"QUARRY",1030.88153831935,-27.124155,-109.287095
806,"QUARRY",1030.90681186156,-27.124559,-109.287112
323,"QUARRY",1031.16758642234,-27.124417,-109.287111
704,"QUARRY",1031.88571085616,-27.123695,-109.287062
805,"QUARRY",1032.50776068854,-27.123179,-109.286989
816,"QUARRY",1033.40366250916,-27.1244,-109.287133
741,"QUARRY",1034.08564364595,-27.126599,-109.286926
815,"QUARRY",1034.58177019526,-27.124432,-109.287146
707,"QUARRY",1035.18337183,-27.123243,-109.287028
615,"QUARRY",1035.20326127942,-27.126509,-109.286958
793,"QUARRY",1035.34504572315,-27.124217,-109.287144
804,"QUARRY",1035.60125939484,-27.12317,-109.287019
794,"QUARRY",1035.63545546908,-27.124336,-109.287153
300,"QUARRY",1035.74901763672,-27.124564,-109.287161
625,"QUARRY",1036.57167692906,-27.126758,-109.286913
742,"QUARRY",1039.45905130051,-27.126618,-109.286977
776,"QUARRY",1040.17705394026,-27.126699,-109.286965
299,"QUARRY",1040.54831196336,-27.124537,-109.287209
807,"QUARRY",1040.91929111777,-27.124625,-109.287214
802,"QUARRY",1042.34703248149,-27.123895,-109.28719
637,"QUARRY",1043.20509587839,-27.125988,-109.287138
801,"QUARRY",1044.79232231028,-27.12394,-109.287219
775,"QUARRY",1047.52135241171,-27.12468,-109.287281
636,"QUARRY",1048.50519311987,-27.126088,-109.287176
901,"QUARRY",1048.78823348914,-27.126169,-109.287165
616,"QUARRY",1050.03975594986,-27.126466,-109.28712
298,"QUARRY",1050.53136951994,-27.124615,-109.287311
800,"QUARRY",1050.6152687404,-27.124176,-109.287296
617,"QUARRY",1050.82650120217,-27.126457,-109.28713
899,"QUARRY",1051.35409798919,-27.126204,-109.287185
593,"QUARRY",1051.78820560767,-27.125389,-109.287296
798,"QUARRY",1052.39448867785,-27.124375,-109.287324
771,"QUARRY",1052.76670805843,-27.124689,-109.287334
902,"QUARRY",1052.9555951182,-27.126138,-109.287213
898,"QUARRY",1053.27369995892,-27.126235,-109.287199
592,"QUARRY",1054.21182997695,-27.125476,-109.287313
594,"QUARRY",1054.45712372932,-27.125377,-109.287324
437,"QUARRY NOT BEDROCK",1055.25602852362,-27.126719,-109.287116
651,"QUARRY",1056.97822059315,-27.126121,-109.287257
900,"QUARRY",1057.0967381998,-27.126197,-109.287245
297,"QUARRY",1057.23499070036,-27.124651,-109.287379
296,"QUARRY",1057.27139712052,-27.124607,-109.287379
799,"QUARRY",1057.62746177356,-27.124177,-109.287367
896,"QUARRY",1057.90851272422,-27.126291,-109.287236
294,"QUARRY",1058.63009710462,-27.124637,-109.287393
773,"QUARRY",1059.49809303223,-27.124704,-109.287402
774,"QUARRY",1059.90911787605,-27.124751,-109.287406
893,"QUARRY",1060.16574054167,-27.126323,-109.287253
595,"QUARRY",1060.44300713335,-27.125397,-109.287383
897,"QUARRY",1061.56206080892,-27.126245,-109.287282
779,"QUARRY",1061.91690729084,-27.124614,-109.287426
618,"QUARRY",1062.37048962029,-27.126387,-109.287263
295,"QUARRY",1062.38180954329,-27.124653,-109.287431
305,"QUARRY",1063.55398777181,-27.124331,-109.287435
772,"QUARRY",1064.45055228708,-27.124721,-109.287452
652,"QUARRY",1064.89121145614,-27.126114,-109.287339
601,"QUARRY",1065.0548771967,-27.125381,-109.287431
778,"QUARRY",1065.77386749129,-27.124618,-109.287465
591,"QUARRY",1067.40424311071,-27.125586,-109.287436
662,"QUARRY",1068.30656803745,-27.125568,-109.287447
795,"QUARRY",1068.77890859793,-27.123844,-109.287453
507,"QUARRY",1069.10136878746,-27.124708,-109.287499
770,"QUARRY",1069.13255398721,-27.124774,-109.287499
790,"QUARRY",1069.37431796555,-27.124414,-109.287497
758,"QUARRY",1069.93266648792,-27.124783,-109.287507
895,"QUARRY",1070.0580662462,-27.126325,-109.287354
311,"QUARRY",1070.10482243605,-27.124651,-109.287509
653,"QUARRY",1071.14244468644,-27.126013,-109.287419
720,"QUARRY",1072.2756415382,-27.124666,-109.287531
892,"QUARRY",1072.34777483975,-27.126343,-109.287374
654,"QUARRY",1073.13841857672,-27.126041,-109.287435
894,"QUARRY",1074.37190658835,-27.126289,-109.287405
719,"QUARRY",1075.24959365171,-27.124657,-109.287561
757,"QUARRY",1076.22905151684,-27.124703,-109.287571
304,"QUARRY",1076.28923184653,-27.124215,-109.287558
219,"QUARRY NOT BEDROCK",1076.30884968528,-27.127234,-109.287194
301,"QUARRY",1076.38074765312,-27.124604,-109.287572
631,"QUARRY",1077.11071054195,-27.126082,-109.287469
588,"QUARRY",1078.18438127262,-27.125866,-109.287512
587,"QUARRY",1078.70109708746,-27.125897,-109.287513
168,"QUARRY",1078.7675581656,-27.124486,-109.287594
589,"QUARRY",1080.71417500819,-27.125811,-109.287545
441,"QUARRY NOT BEDROCK",1081.58787411462,-27.126633,-109.287408
664,"QUARRY",1081.62092868104,-27.126119,-109.287509
302,"QUARRY",1081.65444721619,-27.124523,-109.287624
605,"QUARRY",1081.9055037478,-27.125389,-109.287601
586,"QUARRY",1082.00719806125,-27.125944,-109.28754
303,"QUARRY",1082.07168267669,-27.124243,-109.287618
590,"QUARRY",1084.50226699274,-27.125815,-109.287583
136,"QUARRY",1084.77472278479,-27.124297,-109.287648
604,"QUARRY",1084.99280083533,-27.125868,-109.287581
603,"QUARRY",1085.36113019073,-27.125757,-109.287599
440,"QUARRY NOT BEDROCK",1085.65829080078,-27.126715,-109.287431
135,"QUARRY",1088.16523948227,-27.124388,-109.287686
602,"QUARRY",1088.40980754512,-27.125471,-109.28766
439,"QUARRY NOT BEDROCK",1090.42400385156,-27.126703,-109.287483
629,"QUARRY",1090.69362376121,-27.125363,-109.287692
442,"QUARRY NOT BEDROCK",1091.281558458,-27.126592,-109.287517
585,"QUARRY",1092.29212696896,-27.126056,-109.287628
584,"QUARRY",1092.96292050427,-27.126154,-109.287619
134,"QUARRY",1094.16662757141,-27.124398,-109.287747
169,"QUARRY",1095.09682678002,-27.124416,-109.287757
659,"QUARRY",1095.61404422173,-27.126087,-109.287657
565,"QUARRY NOT BEDROCK",1095.97398079087,-27.126607,-109.287562
